arg,verb,sentence,verb_idx,label
hole,fill,"Compaq Computer Corp. is expected to unveil today a long-awaited line of laptop computers , filling a gaping hole in the company 's product line .",17,1
tower,fill,"Although the office towers filled up quickly -LRB- they 're still 96 % occupied -RRB- , the tony stores -- including Cartier and Mark Cross -- foundered .",4,1
team,fill,"Mr. Tassin 's new team will be filled out by Stephen Gardner , 28 , and Christopher Kreidler , 24 , who were hired during the past year to work with the group .",7,1
gap,fill,"To fill these growing gaps , Congress increasingly has turned to employers to expand coverage to even more employees and non-employees .",1,1
forest,fill,"Instead , `` They should expel all the people living in the {British} countryside and allow secondary forests to grow and fill these new forests with wolves and bears etc. so you can study them before studying tropical animals . ''",24,1
portion,fill,"IBP was harshly critical of the report , charging that the portions referring to IBP are `` filled with innuendo and gross overstatements '' and that the hearings were held `` to serve the egotistical needs of Congressman Lantos . ''",18,1
page,fill,"Clergymen , philosophers , sociologists and political scientists have filled the pages of scholarly journals about the subject .",9,1
hole,fill,"In addition to filling a hole in United 's top management , the action marks the first big personnel move by Mr. Wolf , who was named to his posts last month .",3,1
bed,fill,"And if occupancy ran low , the administrator would just let the doctors know and the beds would fill up .",18,1
problem,fix,"Meanwhile , Congress is turning up the pressure on the FAA to fix O ' Hare 's problems .",12,1
rate,fix,"He added that neither the Fed , nor any other U.S. government agency or international body should try to fix exchange rates .",19,1
system,flood,"`` Dog cases were flooding the court system that 's flooded already , '' Mr. Margolis , the animal behaviorist and expert witness , says .",5,1
shelf,flood,THIS YEAR marketers are again flooding supermarket shelves with new products -- everything from Cajun popcorn to ketchup in spray cans .,5,1
foundation,flood,"Smelling new money , U.S. non-profits flooded the foundations with proposals , says Hiroshi Kamura of the Japan Center for International Exchange .",8,1
office,flood,The U.S. Patent and Trademark Office is flooded with them .,7,1
cancellation,flood,"Cancellations flooded in , slashing expected revenues by $ 300 , 000 over the December Jewish holiday of Hanukkah alone .",1,1
court,flood,"The court has been flooded with briefs by manufacturers and the insurance industry , which argue for limits on liability and damages , and by consumer groups and plaintiffs ' lawyers , which oppose limits .",4,1
laboratory,flood,"Meanwhile , state and private testing laboratories were flooded with thousands of grain samples as merchants and farmers sought reassurance that their commodities were safe .",8,1
bank,flood,"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation .",8,1
area,flood,`` It floods the area instead of having hot pinpoints of glaring light . '',3,1
refugee,flood,Refugees from Romania have been flooding into Hungary by the thousands .,5,1
resident,flood,"Since Taipei lifted a travel ban in November , residents of Taiwan have flooded into China to visit relatives .",13,1
acre,flood,"Now its 12 , 000 acres of manmade hills , soaring granite towers and glistening plazas linked by Venetian canals are flooded with almost a billion dollars in debt .",21,1
maker,flood,"Santa Clara , Calif.-based Intel -- which makes a broad line of semiconductor products -- along with most other big U.S. chip makers , quit making so-called DRAM , or dynamic random access memory , chips after Japanese chip makers flooded the U.S. with cheap memory chips earlier in the decade .",42,1
market,flood,The glutted oil market could soon be flooded with even more Persian Gulf crude .,7,1
money,flood,"So far , the outside money has n't flooded in ; Owens-Illinois and affiliates still account for 95 % of the mutual funds ' total assets of $ 267 million .",8,1
market,flood,Mr. Applegate said he sees the third-quarter earnings reports now flooding the market as the best results that can be expected for some time .,12,1
market,flood,"Saudi Arabia openly declared war on the rest of OPEC , vowing to continue flooding the market with crude oil until the cartel 's members honor their production quotas .",14,1
laboratory,flood,"Indeed , research is being slowed because state laboratories have been flooded with requests by veterinarians for tests on livestock feed .",11,1
window,flood,"In the weeks that followed , South Korean television sets , Taiwanese cassette players and imported clothes flooded shop windows -- apparently the harvest of a new policy that allows businessmen to import goods with foreign currency held abroad .",17,1
office,flood,PRESS RELEASES about lawyers are flooding newspaper offices as the profession becomes more aggressive about marketing .,5,1
board,flood,"Ronald Simmons , the board 's president , said the meeting was scheduled because the board has been `` flooded with phone calls '' for several weeks about rumors of a sweeping IBM cut of the Boca Raton work force .",20,1
economy,flood,"The situation shows how the 1985 farm legislation , which flooded the farm economy with cash the past three years , also expanded the government 's exposure to losses .",10,1
member,flood,"But after the proposal was announced , members of the Aircraft Owners and Pilots Association flooded Congress and the FAA with 80 , 000 letters -- a record number for an aviation issue .",15,1
community,flood,"`` This is serious because the financial community is getting flooded with these things , '' said Robert Siller , an FBI agent investigating the Ohio incidents .",11,1
economy,flood,"While much of the world points to a still-stubborn 8 % unemployment rate , and argues that providing jobs for these 2.2 million Germans would create a new consumer demand , German officials insist that flooding the economy with money wo n't necessarily create jobs .",37,1
letter,flood,"Letters flooded in to Social Work , most of them chastising both the authors and the respected journal , which has a circulation of 116 , 000 .",1,1
association,flood,"Moreover , savings and loan associations , the main housing lenders , have been flooded with deposits since the stock-market crash .",14,1
order,flood,"`` If the S & P would 've closed , sell orders would 've flooded New York '' and sent the stock market sharply lower , said one harried trader overlooking the raucous S & P trading pit .",17,1
researcher,flood,"Researchers at the University of Illinois , which Mr. Harvey said may have found a chemical that prevents the disease , were also flooded with phone calls .",23,1
patriotism,flourish,And the court rejected the attempt to foster patriotism through compulsion as an insult to the American tradition: `` To believe that patriotism will not flourish if patriotic ceremonies are voluntary and spontaneous instead of a compulsory routine is to make an unflattering estimate of the appeal of our institutions to free minds . '',27,1
software,flourish,"In the U.S . , software has flourished as something of a cottage industry ; in Japan , companies have set up software factories with 1 , 000 employees or more .",7,1
factoring,flourish,"For starters , factoring has flourished because many merchants are so willing to do it for a share of the telemarketer 's proceeds .",5,1
farmer,flourish,"British farmers flourish under the EC 's Common Agriculture Policy , and its food companies have grown to global giants , in part because of EC markets .",2,1
pacifism,flourish,`` Pacifism flourished under absolute U.S. protection .,3,1
demand,flourish,"Because of continuing uncertainties associated with the stock market and inflation , he said consumer demand for CDs will flourish if interest rates get nearer to 10 % .",19,1
trading,flourish,It may help explain why insider trading could have flourished unchecked for so long on Wall Street .,9,1
baseball,flourish,Baseball flourished in certain parts of England and Wales before World War II .,1,1
business,flourish,"The unit 's soda ash business is flourishing , analysts say .",7,1
capitalism,flourish,"The explanation seems to be that Mr. Linh , though born in the north , spent most of his life in the south , where capitalism flourished until the Communists took over in 1975 .",26,1
talent,flourish,"A talent like his would flourish best in a relatively genteel and restrained political culture -- or , failing that , in a parliamentary system where he could be handed a safe seat and told to stop worrying .",5,1
art,flourish,"At the beginning of the book , Mr. Haraszti asks , `` Is freedom really necessary for art to flourish ? ''",20,1
groupware,flourish,Industry consultants predict groupware will flourish because personal-computer software that helps individuals work better has n't noticeably increased the productivity of groups .,5,1
television,flourish,Spanish-speaking television is flourishing as well -- providing better opportunities to reach the Hispanic audience .,5,1
analogy,flourish,"The broad argument of Mr. Levin 's book , within whose parameters all his wonderful analogies flourish , is considerably overstated .",16,1
mcdonald,flourish,McDonald 's is flourishing in 11 other nations in the region .,3,1
dillard,flourish,"For that , Dillard needs to study hard , retailing analysts and consultants say , because the small cities where Dillard has flourished are n't much of a training ground for the markets it wants to enter .",22,1
jet,touch,"As late as Wednesday night , jets carrying signatures were still touching down at the airport in Brasilia , and motorcades were flowing into town .",11,1
music,flow,"The music was really flowing , finally .",4,1
request,flow,From the seminars flowed requests for help in updating substandard tanks .,3,1
emotion,flow,The emotions in it flow between the playwright and his audience .,4,1
investment,flow,"`` Our suspicion is that very pessimistic views on trade are paying insufficient attention to the dynamic factors -- namely , the investment flows that are likely to result from the improved competitivenes of U.S. industry , '' said John Lipsky , a director at Salomon Brothers .",24,1
mindedness,flow,"For the past eight years , all the pious high-mindedness has been flowing in one direction .",14,1
opportunity,flow,`` Day by day the opportunity was flowing away like blood draining out of my arm . '' -RRB-,8,1
capital,flow,"Capital has been flowing out of West German investments at an unprecedented rate , helping to explain why the Bundesbank has been raising interest rates in a bid to prop up the mark .",3,1
traffic,flow,"In a letter to Robert W. Page , assistant Army secretary for civil works , the Illinois governor called the situation on the rivers `` a navigation emergency '' and requested the corps to divert Great Lakes water at Chicago to get river traffic flowing again .",45,1
art,flow,So it should n't come as a big surprise that the world 's art is now flowing to Japan .,16,1
money,flow,"`` Germany is being regarded more and more as a high-cost producer of goods , and money will flow more and more to countries that produce more efficiently , '' said Christopher S. Bourdain , a senior financial markets adviser at BankAmerica International .",21,1
earning,flow,"Instead , improved earnings flowed in large part from last year 's decision to reintroduce a five-stick , 25-cent pack of sugared gum .",4,1
capital,flow,"He said global capital flows that once primarily went from the Northern to the Southern Hemisphere `` now flow within the golden triangle of London , New York and Tokyo . ''",4,1
money,flow,"Between the two friends , money flows both ways .",6,1
million,flow,Up to $ 2 million of Dal-Tile 's money flowed through First Republic daily in payments received and bills paid .,11,1
gift,flow,"Gifts flow from commodity brokers , Wall Street houses , developers , insurance firms , Pentagon suppliers , oil companies and labor unions , including the Teamsters .",1,1
hawk,play,"That he can play the hawk , given his 11-year record in the House and Senate , shows what a dovish flock he 's flying with .",3,1
cohen,describe,"Cohen and Kravis was described as cordial , angry charges flew like hail behind the scenes .",4,1
barb,fly,"Back in the early 1970s , when Mr. Trudeau created `` Doonesbury , '' he was able to invent quirky countercultural characters that allowed his delicately accurate barbs to fly in all directions .",30,1
test,pass,"Gary Lynch , the director of enforcement at the SEC , recalls some investment bankers who passed their polygraph tests with flying colors during insider-trading probes .",16,1
memo,fly,I can see the memos flying from one faceless bureaucrat to another .,5,1
customer,grab,"`` Competitors are kept out , and carters ' costs are kept down , '' says Mr. Kossler , who testified publicly in 1983 about one incident: A New York businessman got into the garbage-hauling business and quickly tried to grab customers from other carters by underbidding them .",44,1
rating,grab,National Broadcasting Co. 's `` Main Event '' won the ratings race for the 8 p.m.-to-9 p.m. time period Friday -- and grabbed the highest NBC ratings for that time slot so far this season .,23,1
audience,grab,"And he still knows how to grab an audience: Yesterday , he made people sit up with his announcement of a $ 225 million offer for Resorts International Inc . , although it was rejected within hours .",6,1
portion,grab,They fear Philip Morris could grab a huge portion of the retail shelf and stifle innovation by muscling out smaller and regional concerns where new products are often born .,5,1
piece,grab,"Just as Reuters and Telerate want to grab a piece of Quotron 's territory by offering U.S. equities quotes , Quotron is eyeing their turf and mulling ways to offer pricing information on fixed-income instruments and foreign currencies .",7,1
viewer,grab,"Like soap operas , the spots try to grab the viewer with heavy doses of drama and emotion .",8,1
drive,step,"The suspension likely will accelerate inter-union warfare , as the electricians step up their recruitment drive at new sites , while other unions try to grab electricians ' members in factories where they represent the minority , Mr. Metcalfe says .",13,1
share,grab,"Midland Bank PLC , hoping to grab a bigger share of Britain 's lucrative and highly competitive retail market , has begun giving products brand names and marketing them like chocolate bars .",6,1
reporter,grab,"The New York Times is already rehabilitating Michael Dukakis as a `` centrist , '' but if that 's true why are Democrats now grabbing every reporter in town to whisper , `` Sam Nunn for vice president '' ?",25,1
business,grab,"Japanese , West German , Taiwanese and other foreign machine tool builders grabbed business away from U.S. machine builders , both in the U.S. and abroad .",12,1
quandary,grasp,The new Clore-backed directors viewed their counterparts as stodgy pillars of the San Francisco establishment who failed to grasp KaiserTech 's financial quandary .,20,1
nature,grasp,"He fails to properly grasp the nature of the frontier culture , and only superficially understands the dilemma of the native people .",4,1
message,grasp,I hope not too many of your readers will lack the vision to grasp the message and benefit conferred .,13,1
nature,grasp,"One is that FDR was too unyielding toward the Japanese , and might have reached an understanding with them if he had grasped the nature of Japanese society and politics more adequately .",22,1
fact,grasp,Authors are starting to grasp this simple fact .,4,1
reality,grasp,"Although the editorial mentioned the deficiencies of the traditional , peer-review method of funding university research , it nevertheless failed to grasp the underlying realities that now have impelled Congress to fund university projects directly .",23,1
irony,grasp,"Gleeful opposition leaders have been quick to grasp the irony of the protests: Monimbo was the site of one of the first major uprisings against Anastasio Somoza , the hated dictator , a decade ago .",7,1
principle,grasp,"But if the Fed and other central banks and treasuries can this time grasp the principle , the dollar 's summer rally could be an important rendezvous for the world 's monetary system .",13,1
precept,grasp,Some executives never seem to grasp this precept .,5,1
airline,kick,Three years ago the airline kicked Mr. Landau and his 1.5 million miles out of the program for allegedly breaking the rules .,5,1
butts,kick,`` He 's making fun of them and kicking their butts . '',9,1
giant,kick,"Even giants are being kicked in the shins , however .",4,1
fanny,kick,She puts it this way: `` Let 's kick their fanny from here to yonder ! ``,10,1
presidency,kick,"The U.S. would say it officially `` recognizes '' the presidency of the fellow Noriega kicked out of office , who is now hiding somewhere in Panama .",16,1
intervention,kick,"Since kicking off coordinated intervention with other central banks at the start of the year , the Fed has won greater respect from commercial bank traders it deals with .",1,1
speech,design,"Mr. Reagan 's speech was designed to kick off a triumphant final year in office , but a new poll suggests that his standing in public opinion has n't recovered from the dive it took after the disclosure of the Iran-Contra affair .",5,1
campaign,kick,Mr. Lorenzo said Texas Air today will kick off an advertising campaign aimed at convincing the American public that Eastern is safe and has been the victim of union leaders `` who have their own agenda . '',7,1
program,kick,"The machinery maker , which in December announced it had heavy losses and would be laying off 6 , 000 employees to kick off a restructuring program , said it had a 285 million-mark parent company loss in 1987 .",22,1
pedestal,kick,He then kicks the pedestals out from under them .,2,1
schreger,kick,"`` Flip '' was born 16 months ago at a lunch at Le Toque , an entertainment-industry hangout where Mr. Schreger and Mort Marcus , HRI 's telecommunications president , kicked around ideas .",33,1
ambassador,kick,"While Mr. Gorbachev preached togetherness yesterday , Romania was kicking Hungary 's ambassador out of the country .",9,1
greed,kick,"Says William Beadle , president of the Better Business Bureau of Utah: `` When greed kicks in , common sense many times just flies right out the window . ''",17,1
rally,kick,"The article cited by many traders for kicking off Monday 's rally appeared in the Sunday Times of London and was written by Goldman Sachs 's London-based chief international economist , David Morrison , an influential exchange-rate forecaster .",7,1
court,kick,"`` But it would be unusual for the appeals court to kick him out , since all the judges have to live with each other . ''",12,1
agency,kill,"Mr. Reagan , in his first term , tried to kill the agency .",10,1
suspense,kill,Now the suspense is killing .,4,1
newspaper,kill,"Senator Kennedy , and the handful of legislators who knew about the secret provision , intended to kill two unfriendly newspapers .",17,1
program,kill,But let 's be specific and kill off only those programs that are n't working .,6,1
motivation,kill,"Centralization , on the other hand , kills motivation and crushes the human spirit .",7,1
deal,kill,"The deal was finally killed by MCA management , Mr. Olson says .",4,1
panel,kill,Gov. Roemer 's first effort to kill 125 panels outright died in the legislature earlier this year .,6,1
child,kill,Bicycles kill far more children than handguns .,1,1
stock,knock,"Any bad news knocks stocks down , '' he said .",3,1
door,knock,"`` No one 's knocking down the door anymore , '' said Paul Lovegren , senior account executive at Wassendorf & Son Co . , Cedar Falls , Iowa .",5,1
price,knock,Mr. Hauke `` is looking for a much more costly repair that is nonstandard and would knock the price beyond the the { $ 500} limit for a buy-back . '',17,1
block,knock,"That was altogether appropriate , because some minutes before Tyson had knocked Spinks 's block off , figuratively speaking .",11,1
project,knock,"The project , which is capable of supplying 8 % of South Africa 's electricity needs , was knocked out of commission several years ago by sabotage from anti-government rebels in Mozambique supported by South Africa .",18,1
regulation,knock,A similar regulation in New York was knocked out in court and another court fight is under way in Massachusetts .,7,1
item,knock,"And he is likely to deliver a new and more impassioned plea for the line-item veto , which would allow the president to knock individual items out of a spending bill without vetoing the entire bill .",25,1
elevator,knock,"After a power failure knocked out the elevators , he climbed up and down all those flights at mealtimes .",4,1
team,knock,"For the record , this was the second straight season in which the Redskins came to Chicago to knock the home team out of the playoffs .",18,1
service,knock,It knocked out electricity and communication services .,1,1
missile,knock,"Despite much talk of Star Wars , the U.S. ca n't knock down even an obsolete ballistic missile in mid-flight .",11,1
price,knock,Resources stock prices were knocked broadly lower in early trading following a steep decline of the New York gold price Friday .,4,1
chimney,knock,"The one time the cannon was fired , the chain snapped and one cannonball `` killed a cow in a distant field , while the other knocked down the chimney from a log cabin . ''",27,1
truth,knock,"The 18-year-old Las Vegan , the new darling of the net set , took Stadium Court at the U.S. Open tennis tournament here Wednesday morning against Philip Johnson , an unseeded and heretofore unheeded scuffler from Georgia , and , truth to tell , did n't knock him dead .",50,1
gene,knock,`` It seemed to me an enormously powerful tool if you could knock out a gene responsible for a virus or cancer . '',13,1
dollar,knock,"The concerted intervention succeeded in knocking the dollar down to about 1.8870 marks , but strong demand lifted it off its lows almost immediately .",5,1
year,knock,GOP strategists acknowledge that there are few incumbents they would rather knock off this election year .,11,1
fish,knock,"As compressed water rushes through its gills , a fish is knocked unconscious .",11,1
tagging,knock,"But , if lucky , a shooter with one blast can knock out the female and a half-dozen males tagging along .",11,1
facility,knock,"It razed the Sirri and Sasson platforms in the southern gulf , knocking out the command and control radar facilities of the Iranian military that come to bear on the Hormuz Strait choke point .",12,1
stock,knock,"News of Mr. Bilzerian 's filing , under the Hart-Scott-Rodino Antitrust Act , knocked FlightSafety 's stock up $ 2.25 a share yesterday to close at $ 26.75 in New York Stock Exchange composite trading .",17,1
trading,knock,"According to the presidential task force 's report , some of the stock market 's worst drops on Oct. 19 came after program trading was effectively knocked out of commission by a huge order backlog .",26,1
support,lend,This ought to lend greater U.S. support for fighting more overseas wars .,3,1
support,lend,"On the U.S. side of the equation , Mr. Hodge said the improved October U.S. jobs data , the election and an expected improvement in the U.S. September trade deficit over the August report will all lend only temporary support to the dollar on its downward trend .",36,1
credibility,lend,Although underwriters typically attempt to have new securities products introduced by borrowers other than themselves -- in order to lend additional credibility to the offering -- Merrill said it wanted to do the borrowing itself .,19,1
direction,lend,"Although foreign exchange traders had been awaiting Mr. Greenspan 's testimony in the hope it would lend the currency market some long-sought direction , most said his statements had a neutral impact .",16,1
situation,lend,This does n't mean some situations wo n't lend themselves to symbols .,8,1
statue,melt,But the Supreme Court melted down my statue when it decided Hazelwood . '',4,1
impact,melt,The impact of her crash coup is melting away as her fund has trailed the market consistently .,7,1
butter,melt,"And they claim -- butter not melting in their retinyl-palmitated , Heather Mist tinted mouths -- to `` rebuild the epidermis and strengthen its natural defenses , '' to `` enhance the natural rate of repair of cells , '' and to `` virtually reverse the visual signs of age on surface skin . ''",6,1
opinion,melt,"Lord Bryce noted in 1888 , `` The conjunction of the forces of rank , wealth , knowledge , and intellect '' in a great metropolis like New York `` makes such a city a sort of foundry , '' a key place where `` opinion is melted and cast , '' and `` easily and swiftly propagated and diffused throughout the country . ''",50,1
importance,melt,"And as it does , the importance of the `` farm issue '' in next month 's Iowa caucuses is melting away like snow in a January thaw .",21,1
point,miss,Susan W. Peters 's Aug. 26 letter to the editor concerning the qualifications of business-school professors misses an important point .,18,1
promotion,miss,"She works doggedly at her job in the garment industry , yet when she misses a promotion she 'd hoped for , she `` borrows '' two dresses from the showroom and takes her best friend dancing .",14,1
boat,miss,"`` The U.S. could miss the boat if they play politics at the ADB and do n't put up the bucks , '' says an ADB executive who declined to be identified .",5,1
member,miss,"The current junior team members missed out on Minkey , which began last year , but they did benefit from Olympic profits in the form of a one-time $ 1.2 million payment disbursed by the U.S. Olympic Committee .",5,1
point,miss,"`` Of course , you look at some of the women competing today , and they 've missed the whole point .",19,1
troop,withdraw,"The Soviet Union is unwilling and unlikely to miss the deadline for withdrawing all its troops from Afghanistan , despite its latest blustering and military maneuvering there , Western and Soviet officials indicated .",12,1
soldier,withdraw,But Western and Soviet officials indicated that Moscow is unlikely to miss the Feb. 15 deadline for withdrawing its soldiers from the country .,17,1
ingredient,miss,There also are missing ingredients elsewhere at General Foods .,3,1
point,miss,"They miss the point ignored by most city planners in Latin America: People , not planners , make cities .",1,1
consumer,miss,"Yields on big certificates of deposit surged in the latest week , but consumers who generally hold smaller CDs missed much of the ride .",19,1
street,miss,"`` Wall Street has missed how valuable brands really are and how much growth they can give you , '' says Ms. Page of Bear Stearns .",5,1
downturn,miss,"The big error came in October , 1982 , when the analysts failed to realize they were already in a recession and forecast moderate 2.2 % growth in the inflation-adjusted gross national product in 1982 , completely missing the deep downturn .",39,1
cliche,miss,This little romp does n't miss a cliche .,5,1
opportunity,miss,Non-U.S. companies that do n't respond to the need for more substantive and timely information will miss the opportunity to attract U.S. investment .,18,1
goal,miss,"First City Bancorp. apparently missed its debt-redemption goal yesterday , setting off a scramble to complete its $ 1.5 billion bailout today .",5,1
accomplishment,miss,"In `` As Session Ends , Democrats Can Brag a Little , but They Dropped a Big One '' -LRB- back page , Dec. 18 -RRB- , you missed the biggest accomplishment of the congressional Democrats .",29,1
mark,miss,Yet he missed the mark on his beliefs that money has no `` cost '' and interest rates are the `` price '' of money .,2,1
goal,miss,"First City Bancorp. of Texas apparently missed its goal of redeeming 70 % of its long-term debt by 5 p.m. EDT yesterday , setting off an 11th-hour scramble to complete its $ 1.5 billion bailout today as planned .",7,1
cycle,miss,"`` Their situation is classic to the computer or technology business -- they missed the next product cycle , and in this business when you miss one , you may not get a chance for another . ''",14,1
seed,plant,"Similarly , Victor Munoz , a Chihuahua-born U.S. labor leader , credits the PAN for planting the seeds of democracy .",17,1
official,believe,"U.S. intelligence officials believe Col. Hawari , whose real name is Mohammed Abdel-Ali Labib and who is a protege and close ally of PLO chairman Yasir Arafat , was responsible for planting a sophisticated bomb that killed four Americans on a TWA jetliner in 1986 .",3,1
beeper,plant,"By the time Mr. Torres got his ether , agents had planted electronic beepers inside the barrels .",11,1
idea,plant,"`` Certainly the place where Chambers wrote ' Witness ' and where the 'pumpkin papers ' that ultimately indicted Hiss were kept is a place of considerable historical importance and meets the minimal requirements , '' said Tony Dolan , a Reagan speechwriter who planted the idea of the historical designation with Mr. Hodel .",46,1
flag,plant,"Last week , the ever-clever Michael Kinsley in the Washington Post forged stream after stream of income data to plant his flag: `` Affluent people , far from shouldering an ever-greater share of the tax burden , are n't even keeping up with their rising share of the nation 's income . ''",21,1
device,plant,"Last September a federal agent even tried to plant a listening device in the building housing MCA 's home video unit , but was discovered by MCA security guards .",8,1
bomb,plant,"The vandalism occurred Friday and was discovered Saturday when authorities at Manila Memorial Park cemetery received a telephone warning that a bomb had been planted in Aquino 's concrete tomb , a military official said .",24,1
bomb,plant,"There was no claim of responsibility , but officials suspect the bomb was planted by ethnic Karen separatists .",13,1
role,play,"At his sentencing , Mr. Marchese and his court-appointed lawyer , John J. Byrnes , complained that Mr. Marchese played a small role in the larger tax-shelter conspiracy orchestrated by Mr. Galanis .",21,1
role,play,"Mrs. Bush , who disdains what she calls fake public displays of affection by the Dukakises , also will play an important role in her husband 's campaign .",19,1
dog,play,"But soon new ads will play down the dog even further and display a metal `` G , '' Greyhound 's stock symbol , coming out of a foundry .",5,1
role,play,Proceso has played a key role in making possible the once-unthinkable displays of disrespect that Mr. Salinas has faced .,2,1
part,play,"As voters trooped to the polls and caucus locations in the Northern Plains , Mr. Robertson accused Vice President Bush 's campaign of playing a part in the disclosures about the sex life of television evangelist Jimmy Swaggart .",23,1
profit,plow,"The downtown shop alone is grossing more than $ 1 million a year now , but the Shihs take salaries of only about $ 2 , 000 a month each from their business , plowing profits back into their drive to become the McDonald 's of the flower game .",34,1
network,plow,"Despite the potential drawbacks , the networks are plowing ahead .",8,1
revenue,plow,Most African governments pay lip service but not much else to the principle of plowing those hunting revenues back into the rural communities .,14,1
profit,plow,"The profit has been plowed back into the bank , which has pursued its mission -- to rebuild a decaying neighborhood -- with a singular focus .",4,1
fund,plow,"`` And available funds are being plowed into mortar , brick and tar , '' says chief of research David Swenson .",7,1
gates,plow,"When Chief Gates plowed into the front room , which also served as a play area , the only people inside were two women and three small children , two of whom were eating ice cream .",3,1
company,plow,"Mr. Williams thus launched a divestiture binge that ended only last year , ultimately raising more than $ 1.2 billion in cash -- money that the company plowed not only into reducing debt and upgrading its its natural-gas pipelines , but also into transforming old pipelines into new telephone lines .",27,1
resource,plow,The expansion is further evidence of Quantum 's intent to plow resources into its basic chemical operations now that it has made its exit from the wine and spirits business .,10,1
furrow,plow,"In retelling the story of Freud 's life and work , Peter Gay plows a furrow already dug deep by many previous Freud biographers and historians of psychoanalysis .",13,1
investor,plow,"Early last month , U.S. investors such as Rockefeller Foundation and Equitable Capital Management Corp. plowed $ 225 million into Advent Corp. 's International Network Fund .",15,1
train,plow,"He was tested for drugs after running a stop signal and plowing his freight train into a passenger train , killing 16 people .",11,1
billion,plow,But the $ 40 billion of accumulated losses at insolvent S & Ls would plow under both funds .,14,1
profit,plow,"He frets that industry 's failure to plow profits back into new capacity will constrain exports , considered by many economists as the brightest hope for maintaining U.S. growth , even if consumer spending weakens .",7,1
money,pour,"As manufacturers get bigger , they are likely to pour more money into the battle for shelf space , raising the ante for new players .",9,1
group,describe,"A military group described as supporting former leader Ne Win ousted Burma 's civilian president , and thousands of citizens armed with homemade weapons poured into Rangoon 's streets to reject the regime , the fourth in two months .",3,1
money,pour,Securities firms and banks have long poured money into the coffers of state and local officials to improve their chances of getting municipal finance business .,6,1
water,pour,"Re your page-one story `` To Mark Year 2000 , Some Events Will Be Out of This World , '' June 27: I 'd hate to pour water on anybody 's millennial observance , but 2000 is the last year of the 20th century .",30,1
resource,pour,"In recent years , Drexel has poured far more resources into areas such as high-yield , `` junk '' bonds , merger and acquisition advice and mortgage-backed securities .",6,1
sum,pour,NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon .,19,1
million,pour,They 've poured millions of dollars into lawmakers ' campaign coffers .,3,1
money,pour,But it 's another thing to simply pour money into a fiscal black hole .,7,1
thousand,pour,"China poured tens of thousands of dollars into producing the country 's first batch of U.S.-trained M.B.A.s , including Mr. Wang .",1,1
money,pour,Mr. Icahn is already pouring money into his effort to fight Texaco 's plan .,4,1
labor,pour,"An immense , loving labor of critical scholarly skills is poured into the study of this remarkable woman , who will be a discovery to many readers , as she was to me .",10,1
million,pour,"In light of all this , you might expect the government here to pour millions into science .",13,1
peseta,pour,"Spain is pouring 15 billion pesetas -LRB- $ 122.2 million -RRB- into major new equipment by Ceselsa , a Spanish maker .",2,1
million,pour,So the chemical industry is reluctantly pouring millions into developing biodegradable plastics .,6,1
fortune,pour,"For one , the industry has poured a fortune into advertisements designed to promote plastic bags , trashcan liners and other household products that are , as the television commercial goes , hefty , hefty , hefty .",6,1
adviser,pour,"Our view is that the Russians and Cubans figured this out some time ago , which is why , despite Mr. Reagan 's occasional speeches , they never hesitated to pour advisers and war materiel by the ton into Nicaragua .",30,1
offer,pour,"Offers for more projects pour in every day , spurring Mr. Vinton to mull over the possibility of opening satellite offices in New York and Los Angeles to deal with all the people clamoring for Claymation .",4,1
crude,pour,Oil prices continued to fall yesterday in trading torn by rumors and growing evidence that Saudi Arabian crude is pouring into the market .,19,1
billion,pour,"Despite a drying up of domestic demand for equity-warrant paper , more than $ 1 billion of equity-warrant issues poured into the market last week , and further heavy issuance is scheduled for coming weeks .",23,1
scorn,pour,Some analysts here also poured scorn on the takeover concerns .,4,1
word,pour,"I leave her there , pouring out her words into the darkness . ''",5,1
money,pour,Why do companies pour money into the wrong places ?,3,1
buyer,pour,"Foreign and domestic buyers poured into the market at the outset of trading on continued strength in the dollar and the widely held belief that interest rates are headed lower , said Frederick Leiner , a futures analyst with Prudential-Bache Securities Inc . , Chicago .",4,1
revenue,pour,"At the same time , revenues from merchant banking poured in .",9,1
investor,pump,Japanese investors pumped in $ 190 million in this year 's first half .,2,1
vigor,pump,"The addition of the Iraqi Kurds , at least 20 % of whom are Pesh Merga fighting for an independent Kurdistan , could pump new vigor into Turkey 's indigenous Kurdish extremists .",23,1
anger,pump,"Roger Ailes , the man who will guide George Bush 's heavy media campaign , is pumping up his anger like a lineman preparing to crush the opposing quarterback .",16,1
job,pump,"In doing so , the state is trying to use retirees as a vehicle to achieve a public-policy aim: pumping more jobs and money into its poorest region .",22,1
deficit,pump,"Because of such saturation , German officials argue , cutting already low interest rates or pumping up a budget deficit that is already a higher percentage of their economy than the U.S. deficit , would lead to rampant inflation .",15,1
volume,pump,He says he has been `` pumping up the volume '' on his staff .,7,1
economy,pump,"The commission 's endorsement of using gambling to pump up Detroit 's economy was widely expected , and serves mainly to push the heated Detroit casino debate back to the city council .",8,1
